Posted Date,Tran Date,Description,Card,Amount,Balance
8/14/2023,8/13/2023,MOB PAYMENT RECEIVED,6918,"$3,300.00 ","$10,745.05 "
8/14/2023,8/13/2023,1830 GREAT CLIPS AT WALKEBEAVERTON OR,6918,($59.00),"$10,804.05 "
8/14/2023,8/13/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($301.41),"$11,105.46 "
8/14/2023,8/12/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($6.94),"$14,045.05 "
8/14/2023,8/12/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($15.25),"$14,038.11 "
8/14/2023,8/11/2023,SPOTIFY 877-778-1161 NY,6918,($9.99),"$14,007.87 "
8/14/2023,8/11/2023,Amazon Prime*TO6FN9JX2 Amzn.com/billWA,6918,($14.99),"$14,022.86 "
8/14/2023,8/11/2023,76 - SEI 35335 BEAVERTON OR,8201,($46.91),"$13,884.85 "
8/14/2023,8/11/2023,CHEWY.COM 800-672-4399 FL,8201,($113.03),"$13,997.88 "
8/10/2023,8/9/2023,365 Market 888 432-3299 TROY MI,8201,($2.49),"$13,837.94 "
8/10/2023,8/8/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($7.74),"$13,835.45 "
8/9/2023,8/8/2023,GOOGLE *YouTubePremium g.co/helppay#CA,6918,($7.92),"$13,808.71 "
8/9/2023,8/8/2023,FLATLY HTTPSFLATLY.ICA,6918,($19.00),"$13,827.71 "
8/8/2023,8/8/2023,INTEREST CHARGE-CASH ADVANCES,6918,($56.23),"$13,800.79 "
8/8/2023,8/8/2023,NikePOS_US Beaverton OR,8201,($99.00),"$13,585.30 "
8/8/2023,8/8/2023,INTEREST CHARGE-PURCHASES,6918,($159.26),"$13,744.56 "
8/8/2023,8/7/2023,76 - SEI 35335 BEAVERTON OR,8201,($10.94),"$13,486.30 "
8/8/2023,8/7/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($44.06),"$13,475.36 "
8/8/2023,8/6/2023,FRANK'S NOODLE HOUSE. BEAVERTON OR,6918,($36.00),"$13,431.30 "
8/7/2023,8/6/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($166.20),"$13,395.30 "
8/7/2023,8/5/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($52.11),"$13,229.10 "
8/7/2023,8/4/2023,76 - SEI 35335 BEAVERTON OR,8201,($14.75),"$13,176.99 "
8/4/2023,8/4/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($15.25),"$13,096.69 "
8/7/2023,8/4/2023,AMCREST INDUSTRIES LLC 7138938956 TX,6918,($40.00),"$13,162.24 "
8/7/2023,8/3/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($6.78),"$13,122.24 "
8/3/2023,8/3/2023,WWW.SYMBOLAB.COM HTTPSWWW.SYMBCA,6918,($9.95),"$13,017.44 "
8/4/2023,8/3/2023,AMZN Mktp US*TH74R1YQ0 Amzn.com/billWA,8201,($14.98),"$13,081.44 "
8/7/2023,8/3/2023,OFFICE DEPOT #3369 BEAVERTON OR,6918,($18.77),"$13,115.46 "
8/4/2023,8/3/2023,76 - SEI 35335 BEAVERTON OR,8201,($49.02),"$13,066.46 "
8/3/2023,8/2/2023,CHEGG ORDER 855-440-1323 CA,6918,($19.95),"$13,007.49 "
8/1/2023,8/1/2023,MOB PAYMENT RECEIVED,6918,"$6,000.00 ","$10,009.80 "
8/1/2023,8/1/2023,Prime Video Channels amzn.com/billWA,6918,($8.99),"$15,994.55 "
8/1/2023,8/1/2023,IPSY GLAM BAG HELP.IPSY.COMCA,6918,($14.99),"$15,985.56 "
8/1/2023,8/1/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($15.25),"$16,009.80 "
8/1/2023,8/1/2023,CLOUDFLARE HTTPSWWW.CLOUCA,6918,($18.30),"$15,970.57 "
8/2/2023,8/1/2023,CHEWY.COM 800-672-4399 FL,8201,($42.91),"$12,935.63 "
8/3/2023,8/1/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($51.91),"$12,987.54 "
8/2/2023,8/1/2023,PORTLAND GENERAL ELECTRIC800-542-8818 OR,6918,($150.32),"$12,892.72 "
8/2/2023,8/1/2023,YSI*Pallas Apartment Home503-6055000 OR,6918,"($2,732.60)","$12,742.40 "
8/1/2023,7/31/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($33.97),"$15,952.27 "
7/31/2023,7/30/2023,FRIENDS OF THE HILLSBORO HILLSBORO OR,6918,($21.50),"$15,491.07 "
7/31/2023,7/30/2023,TMOBILE*AUTO PAY 800-937-8997 WA,6918,($185.84),"$15,676.91 "
7/31/2023,7/30/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($241.39),"$15,918.30 "
7/31/2023,7/29/2023,SQ *OREGON BEVERAGE SERVIHillsboro OR,6918,($8.00),"$15,429.57 "
7/31/2023,7/29/2023,SQ *OREGON BEVERAGE SERVIHillsboro OR,6918,($8.00),"$15,385.57 "
7/31/2023,7/29/2023,SQ *OREGON BEVERAGE SERVIHillsboro OR,6918,($8.00),"$15,377.57 "
7/31/2023,7/29/2023,FRANKS NOODLE HOUSE WWW.FRANKSNOOOR,6918,($33.00),"$15,369.57 "
7/31/2023,7/29/2023,TST* Sweet cheeks Maricompa AZ,6918,($36.00),"$15,421.57 "
7/31/2023,7/29/2023,BUTLER AMUSEMENTS INC BEAVERTON OR,6918,($40.00),"$15,469.57 "
7/28/2023,7/28/2023,AMZN Mktp US*T69671991 Amzn.com/billWA,8201,($16.69),"$15,221.73 "
7/31/2023,7/28/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($61.67),"$15,336.57 "
7/28/2023,7/27/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($10.23),"$15,178.07 "
7/28/2023,7/27/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($26.97),"$15,205.04 "
7/31/2023,7/27/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($53.17),"$15,274.90 "
7/28/2023,7/26/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($5.88),"$15,167.84 "
7/26/2023,7/26/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($15.25),"$15,146.88 "
7/27/2023,7/25/2023,CHICK-FIL-A #04048 BEAVERTON OR,6918,($15.08),"$15,161.96 "
7/26/2023,7/24/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($6.84),"$15,131.63 "
7/24/2023,7/23/2023,MATHWAY 800-876-1799 PA,6918,($9.99),"$14,983.74 "
7/25/2023,7/23/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($10.13),"$15,008.86 "
7/24/2023,7/23/2023,Amazon.com*JY54H9F53 Amzn.com/billWA,8201,($14.99),"$14,998.73 "
7/25/2023,7/23/2023,FRED MEYER 5482 866-576-4377 OR,8201,($115.93),"$15,124.79 "
7/24/2023,7/23/2023,GEICO *AUTO 800-841-3000 DC,6918,($121.70),"$14,973.75 "
7/24/2023,7/22/2023,FANDANGO FANDANGO.COM CA,6918,($28.76),"$14,711.92 "
7/24/2023,7/22/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($53.13),"$14,852.05 "
7/24/2023,7/22/2023,NIKKI SUSHI & STEAK BEAVERTON OR,6918,($87.00),"$14,798.92 "
7/24/2023,7/21/2023,76 - SEI 35335 BEAVERTON OR,8201,($8.87),"$14,683.16 "
7/24/2023,7/21/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($9.57),"$14,647.93 "
7/24/2023,7/21/2023,AMC 0613 PROGRESS RIDG BEAVERTON OR,6918,($26.36),"$14,674.29 "
7/24/2023,7/21/2023,PETCO 251 63502512 BEAVERTON OR,6918,($59.99),"$14,638.36 "
7/20/2023,7/20/2023,APPLE.COM/BILL 866-712-7753 CA,8201,($2.99),"$14,347.63 "
7/24/2023,7/20/2023,BURGER KING #30279 HILLSBORO OR,6918,($11.19),"$14,578.37 "
7/21/2023,7/20/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($12.62),"$14,567.18 "
7/21/2023,7/20/2023,AMZN Mktp US*A345B3IW3 Amzn.com/billWA,6918,($199.99),"$14,554.56 "
7/21/2023,7/19/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($6.94),"$14,354.57 "
7/19/2023,7/19/2023,OLO VG 0008 CHC - CEDAR olo.com OR,8201,($17.25),"$14,261.80 "
7/20/2023,7/19/2023,AMZN Mktp US*MQ3947RI3 Amzn.com/billWA,6918,($17.99),"$14,307.70 "
7/19/2023,7/19/2023,AMAZON.COM*X44L86QB3 AMZNAMZN.COM/BILLWA,6918,($18.99),"$14,244.55 "
7/20/2023,7/19/2023,AMZN Mktp US*R76O66D23 Amzn.com/billWA,8201,($36.94),"$14,344.64 "
7/19/2023,7/18/2023,KFC C748019 BEAVERTON OR,6918,($16.08),"$14,146.45 "
7/20/2023,7/18/2023,GOODWILL OF CEDAR HILLS BEAVERTON OR,8201,($27.91),"$14,289.71 "
7/19/2023,7/18/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($79.11),"$14,225.56 "
7/18/2023,7/18/2023,SQ *FINAL SWITCHBACK gosq.com OR,8201,($82.50),"$14,130.37 "
7/18/2023,7/17/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($18.48),"$14,047.87 "
7/17/2023,7/16/2023,TARGET 00009100 BEAVERTON OR,6918,$169.99 ,"$14,005.39 "
7/18/2023,7/16/2023,SQ *SALT & STRAW Beaverton OR,6918,($24.00),"$14,029.39 "
7/17/2023,7/16/2023,FRED M FUEL #9482 Q76 BEAVERTON OR,6918,($79.62),"$14,175.38 "
7/17/2023,7/16/2023,FRED-MEYER #0482 BEAVERTON OR,6918,($214.01),"$14,095.76 "
7/17/2023,7/15/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($7.33),"$13,881.75 "
7/17/2023,7/15/2023,ROSS STORES #1038 BEAVERTON OR,8201,($20.98),"$13,874.42 "
7/17/2023,7/15/2023,TJMAXX #0343 BEAVERTON OR,8201,($26.97),"$13,853.44 "
7/17/2023,7/15/2023,NEW SEASONS MARKET BEAVERTON OR,8201,($49.93),"$13,826.47 "
7/14/2023,7/14/2023,MOB PAYMENT RECEIVED,6918,"$3,560.22 ","$13,399.95 "
7/17/2023,7/14/2023,THE HOME DEPOT #4001 PORTLAND OR,6918,($2.62),"$13,776.54 "
7/17/2023,7/14/2023,7-ELEVEN 34135 BEAVERTON OR,6918,($6.94),"$13,773.92 "
7/17/2023,7/14/2023,INTEL RA4 CAFE HILLSBORO OR,6918,($17.09),"$13,688.98 "
7/17/2023,7/14/2023,BEST BUY 00004515 BEAVERTON OR,6918,($54.99),"$13,671.89 "
7/17/2023,7/14/2023,PF CHANGS #9200 HILLSBORO OR,6918,($78.00),"$13,766.98 "
7/17/2023,7/14/2023,BEST BUY 00004515 BEAVERTON OR,6918,($216.95),"$13,616.90 "
7/14/2023,7/13/2023,FRED M FUEL #9482 Q76 BEAVERTON OR,8201,($42.68),"$16,960.17 "
7/14/2023,7/13/2023,76 - SEI 35335 BEAVERTON OR,8201,($44.36),"$16,826.09 "
7/14/2023,7/13/2023,FRED-MEYER #0482 BEAVERTON OR,8201,($91.40),"$16,917.49 "
7/13/2023,7/12/2023,CVS CarePass 800-746-7287 RI,8201,($5.00),"$16,781.73 "
7/13/2023,7/12/2023,Amazon.com*6A6FP7DR3 Amzn.com/billWA,8201,($20.28),"$16,776.73 "
7/13/2023,7/12/2023,AMZN MKTP US*LB5DC27X3 AMAMZN.COM/BILLWA,8201,($145.97),"$16,756.45 "
7/12/2023,7/11/2023,SPOTIFY 877-778-1161 NY,6918,($9.99),"$16,561.46 "
7/12/2023,7/11/2023,Amazon Prime*7L4TE3323 Amzn.com/billWA,6918,($14.99),"$16,324.97 "
7/13/2023,7/11/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($17.07),"$16,610.48 "
7/12/2023,7/11/2023,AMZN MKTP US*XD41X8H13 AMAMZN.COM/BILLWA,8201,($31.95),"$16,593.41 "
7/12/2023,7/11/2023,ZIPLY FIBER * INTERNET 866-699-4759 WA,6918,($226.50),"$16,551.47 "
7/11/2023,7/10/2023,SQ *THE MOCKING BIRD Beaverton OR,6918,($14.95),"$16,264.61 "
7/12/2023,7/10/2023,TST* Voodoo Doughnut Old Portland OR,8201,($45.37),"$16,309.98 "
7/10/2023,7/9/2023,SQ *SALT & STRAW Beaverton OR,6918,($15.90),"$16,062.12 "
7/11/2023,7/9/2023,IN N OUT BURGER 351 KEIZER OR,6918,($18.55),"$16,249.66 "
7/10/2023,7/9/2023,AMZN Mktp US*416SS39C3 Amzn.com/billWA,8201,($19.99),"$16,231.11 "
7/10/2023,7/9/2023,ESCAPETECH WWW.ESCAPETECOR,8201,($149.00),"$16,211.12 "
7/10/2023,7/8/2023,GOOGLE *YouTubePremium g.co/helppay#CA,6918,($7.92),"$15,775.19 "
7/10/2023,7/8/2023,SCHWIETERTS CONES AND CANCANNON BEACH OR,6918,($17.50),"$15,999.75 "
7/10/2023,7/8/2023,TOP GOLF BAY RESERVATION 800-453-0660 TX,6918,($25.00),"$15,724.79 "
7/10/2023,7/8/2023,NEW SEASONS MARKET BEAVERTON OR,6918,($29.77),"$15,853.56 "
7/10/2023,7/8/2023,TST* ELEPHANTS DELICATESSPORTLAND OR,6918,($42.48),"$15,767.27 "
7/10/2023,7/8/2023,7-ELEVEN 34135 BEAVERTON OR,8201,($46.47),"$16,046.22 "
